name,slug,symbol,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
Pabyosi Coin (Special),pabyosi-coin-special,PCS,2018-11-29,1990,0.401055,0.443219,0.250213,0.402422,282087.0,0.0,1.0,0.36
Pakcoin,pakcoin,PAK,2018-11-29,1552,0.051082,0.061334,0.04465,0.050753,101123.0,2363168.0,1.0,0.03
Pal Network,pal-network,PAL,2018-11-29,555,0.05477,0.057143,0.050702,0.055111,22620300.0,13800569.0,1.0,0.02
PalletOne,palletone,PTN,2018-11-29,1776,0.025441,0.029385,0.024881,0.025393,757721.0,0.0,0.9372,0.0
Pandacoin,pandacoin-pnd,PND,2018-11-29,546,0.002238,0.002493,0.001772,0.002274,11222800.0,73932743.0,1.0,0.0
Pandemia,pandemia,PNDM,2018-11-29,1962,0.0393,0.041246,0.027855,0.039299,2359.0,0.0,0.9967,0.03
Paragon,paragon,PRG,2018-11-29,1231,1.89,4.12,0.761748,0.89193,908754.0,57918941.0,1.0,3.77
ParallelCoin,parallelcoin,DUO,2018-11-29,1598,3.69,4.33,2.9,3.69,27945.0,1157143.0,1.0,3.26
Pareto Network,pareto-network,PARETO,2018-11-29,901,0.100029,0.103234,0.084877,0.099314,1766850.0,21295966.0,1.0,0.04
ParkByte,parkbyte,PKB,2018-11-29,1616,2.65,3.16,2.4,2.66,21813500.0,12687412.0,1.0,2.02
Parkgene,parkgene,GENE,2018-11-29,1082,0.01746,0.018681,0.015922,0.017463,406504.0,4702633.0,1.0,0.01
ParkinGo,parkingo,GOT,2018-11-29,1885,0.731716,0.731783,0.716991,0.731716,227929.0,0.0,1.0,0.23
Particl,particl,PART,2018-11-29,201,47.05,52.4,41.26,48.26,18138300.0,378403177.0,1.0,19.23
Pascal Coin,pascal-coin,PASC,2018-11-29,342,5.31,5.7,5.05,5.3,20106600.0,89638680.0,1.0,1.72
Pascal Lite,pascal-lite,PASL,2018-11-29,1506,0.537838,0.58918,0.458512,0.538441,59985.0,2546530.0,1.0,0.25
Patientory,patientory,PTOY,2018-11-29,735,1.63,1.69,1.41,1.63,66089700.0,47470570.0,1.0,1.56
Patron,patron,PAT,2018-11-29,328,0.129618,0.154104,0.082814,0.130102,4936450.0,10537009.0,1.0,0.1
